paper_id,doi,arxiv_id,title,authors,year,venue,citations,url,oa_status,is_oa,best_oa_url,best_oa_host,n_oa_locations,all_oa_urls
P13_wang_2023,10.3390/math11183937,,Risk Analysis of the Chinese Financial Market with the Application of a Novel Hybrid Volatility Prediction Model,Wang et al.,2023,Mathematics (MDPI),6,https://doi.org/10.3390/math11183937,gold,True,https://www.mdpi.com/2227-7390/11/18/3937/pdf?version=1694853699,publisher,2,https://www.mdpi.com/2227-7390/11/18/3937/pdf?version=1694853699; https://doaj.org/article/23d26bd282304929a8f5f0d2edcb462e
P14_zahid_2022,10.3390/risks10120237,,Forecasting Bitcoin Volatility Using Hybrid GARCH Models with Machine Learning,Zahid et al.,2022,Risks (MDPI),21,https://doi.org/10.3390/risks10120237,gold,True,https://www.mdpi.com/2227-9091/10/12/237/pdf?version=1671531259,publisher,3,https://www.mdpi.com/2227-9091/10/12/237/pdf?version=1671531259; https://doaj.org/article/888d8b6333e342dd97317777d49913a4; https://dx.doi.org/10.3390/risks10120237
P15_mostafa_2021,10.3390/jrfm14090421,,GJR-GARCH Volatility Modeling under NIG and ANN for Predicting Top Cryptocurrencies,Mostafa et al.,2021,Journal of Risk and Financial Management (MDPI),28,https://doi.org/10.3390/jrfm14090421,hybrid,True,https://www.mdpi.com/1911-8074/14/9/421/pdf?version=1632380471,publisher,4,https://www.mdpi.com/1911-8074/14/9/421/pdf?version=1632380471; https://doaj.org/article/baee06d16c6844dbb41c7580e2c25038; http://hdl.handle.net/10419/258525; https://dx.doi.org/10.3390/jrfm14090421
P16_bohte_2019,10.3390/jrfm12030150,,Comparing the Forecasting of Cryptocurrencies by Bayesian Time-Varying Volatility Models,Bohte et al.,2019,Journal of Risk and Financial Management (MDPI),25,https://doi.org/10.3390/jrfm12030150,hybrid,True,https://www.mdpi.com/1911-8074/12/3/150/pdf?version=1568962175,publisher,8,https://www.mdpi.com/1911-8074/12/3/150/pdf?version=1568962175; https://research.vu.nl/en/publications/16b0f65e-1c56-445c-b370-23ac053e8c79; https://arxiv.org/pdf/1909.06599; https://arxiv.org/pdf/1909.06599.pdf; https://doaj.org/article/51e7dea2cc3149a29f07db33bb31e7c4; http://dx.doi.org/10.3390/jrfm12030150; http://www.mendeley.com/research/comparing-forecasting-cryptocurrencies-bayesian-timevarying-volatility-models; https://doi.org/10.48550/arxiv.1909.06599
P17_dipersio_2021,10.3390/risks9020033,,Forward-Looking Volatility Estimation for Risk-Managed Investment Strategies during COVID-19,Di Persio et al.,2021,Risks (MDPI),17,https://doi.org/10.3390/risks9020033,gold,True,https://www.mdpi.com/2227-9091/9/2/33/pdf?version=1612169607,publisher,5,https://www.mdpi.com/2227-9091/9/2/33/pdf?version=1612169607; https://www.mdpi.com/2227-9091/9/2/33; https://doaj.org/article/62f740fb32e84b2ba9282a5739809487; http://hdl.handle.net/10419/258122; https://dx.doi.org/10.3390/risks9020033
P18_lei_2021,10.3390/math9040320,,Volatility Forecasting for High-Frequency Financial Data Based on Web Search Index and Deep Learning,Lei et al.,2021,Mathematics (MDPI),16,https://doi.org/10.3390/math9040320,gold,True,https://www.mdpi.com/2227-7390/9/4/320/pdf?version=1612750833,publisher,3,https://www.mdpi.com/2227-7390/9/4/320/pdf?version=1612750833; https://doaj.org/article/9a0886a1aeb74c3990b88e4effb2bded; https://dx.doi.org/10.3390/math9040320
P19_zhang_2025,10.3390/math13111889,,Forecasting Stock Market Volatility Using CNN-BiLSTM-Attention Model with Mixed-Frequency Data,Zhang et al.,2025,Mathematics (MDPI),8,https://doi.org/10.3390/math13111889,gold,True,https://www.mdpi.com/2227-7390/13/11/1889/pdf?version=1749115399,publisher,2,https://www.mdpi.com/2227-7390/13/11/1889/pdf?version=1749115399; https://doaj.org/article/85d73ccf0365458fab78a78dfe6c047e
P20_lux_2020,,2009.06910,Data driven value-at-risk forecasting using a SVR-GARCH-KDE hybrid,Lux Marius,2020,arXiv q-fin,0,https://arxiv.org/abs/2009.06910,n/a (no DOI),,,,,
P21_aradi_2020,,2009.05508,Volatility Forecasting with 1-dimensional CNNs via transfer learning,Aradi Bernadett,2020,arXiv q-fin,0,https://arxiv.org/abs/2009.05508,n/a (no DOI),,,,,
P22_bucci_2024,,2412.09517,Geometric Deep Learning for Realized Covariance Matrix Forecasting,Bucci Andrea,2024,arXiv q-fin,0,https://arxiv.org/abs/2412.09517,n/a (no DOI),,,,,
P23_zhao_2024,,2411.17136,Autoencoder Enhanced Realised GARCH on Volatility Forecasting,Zhao Qianli,2024,arXiv q-fin,0,https://arxiv.org/abs/2411.17136,n/a (no DOI),,,,,
P24_kumar_2024,,2410.16858,Dynamic graph neural networks for enhanced volatility prediction in financial markets,Kumar Pulikandala Nithish,2024,arXiv q-fin,0,https://arxiv.org/abs/2410.16858,n/a (no DOI),,,,,
P25_xu_2024,,2410.00288,GARCH-Informed Neural Networks for Volatility Prediction in Financial Markets,Xu Zeda,2024,arXiv q-fin,0,https://arxiv.org/abs/2410.00288,n/a (no DOI),,,,,
P26_roszyk_2024,,2407.16780,The Hybrid Forecast of S&P 500 Volatility ensembled from VIX GARCH and LSTM models,Roszyk Natalia,2024,arXiv q-fin,0,https://arxiv.org/abs/2407.16780,n/a (no DOI),,,,,
P27_tondapu_2024,,2402.07435,Analyzing Currency Fluctuations: A Comparative Study of GARCH EWMA and IV Models for GBP/USD and EUR/GBP Pairs,Tondapu Narayan,2024,arXiv q-fin,0,https://arxiv.org/abs/2402.07435,n/a (no DOI),,,,,
P28_wei_2025,,2504.09380,Unified GARCH-Recurrent Neural Network in Financial Volatility Forecasting,Wei Jingyi,2025,arXiv q-fin,0,https://arxiv.org/abs/2504.09380,n/a (no DOI),,,,,
P29_wang_2025,,2506.02796,Deep Learning Enhanced Multivariate GARCH,Wang Haoyuan,2025,arXiv q-fin,0,https://arxiv.org/abs/2506.02796,n/a (no DOI),,,,,
P30_blake_2025,,2510.03236,Improving S&P 500 Volatility Forecasting through Regime-Switching Methods,Blake Ava C.,2025,arXiv q-fin,0,https://arxiv.org/abs/2510.03236,n/a (no DOI),,,,,
